Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),MAINZONE:Zone Mean Air Temperature [C](Hourly),MAINZONE:Zone Infiltration Standard Density Volume Flow Rate [m3/s](Hourly),MAINZONE:Zone Air System Sensible Heating Energy [J](Hourly),MAINZONE:Zone Air System Sensible Cooling Energy [J](Hourly),MAINZONE:Zone Air CO2 Concentration [ppm](Hourly),MAINZONE:Zone Air Generic Air Contaminant Concentration [ppm](Hourly),LAB_HX:Heat Exchanger Sensible Heating Energy [J](Hourly),SUPPLY_FAN:Fan Electricity Energy [J](Hourly),EXHAUST_FAN:Fan Electricity Energy [J](Hourly),ERV_SA_OUTLET:System Node Temperature [C](Hourly),Electricity:Facility [J](Hourly) 
 01/04  17:00:00,-5.0,3.375,20.0,0.0036270776234877894,1783881.4828969548,0.0,400.21608067319085,4.768221563116494e-13,3791025.4208279396,938.161066751177,938.161066751177,16.300723501332698,1876.322133502354 
 01/04  18:00:00,-5.125,3.0,20.0,0.0035416606485943474,1790223.0593769946,0.0,400.1885259504917,4.1601754060938714e-13,3810545.7447001897,938.1610444209507,938.1610444209507,16.281966862409348,1876.3220888419014 
 01/04  19:00:00,-5.075,2.375,20.0,0.003440654653696431,1790251.4280041764,0.0,400.16464264877493,3.633145975080618e-13,3802924.0703517725,938.16102508534,938.16102508534,16.28946165531908,1876.32205017068 
 01/04  20:00:00,-5.0,2.0,20.0,0.0033903086037415896,1794905.2018016926,0.0,400.14406314874253,3.1790210671732957e-13,3791491.2111362154,938.1610084268145,938.1610084268145,16.300706898849754,1876.322016853629 
 01/04  21:00:00,-4.5,3.25,20.0,0.0035927280036406307,1819856.770118043,0.0,400.1259375056841,2.779045073020208e-13,3716786.278715211,938.1609938703671,938.1609938703671,16.37570081448752,1876.3219877407341 
 01/04  22:00:00,-4.075,2.75,20.0,0.0034954937325911975,1812180.9380071047,0.0,400.10980541222074,2.423060454993361e-13,3652678.9079109416,938.1609808429831,938.1609808429831,16.439448104844633,1876.3219616859662 
 01/04  23:00:00,-4.0,2.0,20.0,0.0033769595194707716,1809278.9260939336,0.0,400.09607439706826,2.1200600914380054e-13,3641102.7687201146,938.1609696909866,938.1609696909866,16.45069557062671,1876.3219393819732 
 01/04  24:00:00,-3.875,1.375,20.0,0.0033068729070297627,1809711.0455869127,0.0,400.08415179420354,1.8569657053017482e-13,3623140.4263792,938.1609600557356,938.1609600557356,16.469440319240796,1876.3219201114712 
 01/05  01:00:00,-4.55,3.5,20.0,0.003681170149472399,1873359.3448061235,0.0,400.0736260680927,1.6246960003406461e-13,3725209.068021623,938.1609516259032,938.1609516259032,16.368187798700063,1876.3219032518064 
 01/05  02:00:00,-5.0,3.75,20.0,0.003718850118585771,1895264.9347956136,0.0,400.06400346006,1.4123552738982125e-13,3791247.3257940095,938.1609438983002,938.1609438983002,16.300693678072886,1876.3218877966003 
 01/05  03:00:00,-5.0,3.0,20.0,0.003549563476159792,1886630.2008789214,0.0,400.05583784474044,1.23216579897138e-13,3790249.2510590255,938.1609372497965,938.1609372497965,16.300696776685196,1876.321874499593 
 01/05  04:00:00,-5.625,3.625,20.0,0.0036915673760460387,1925117.876671694,0.0,400.0487194086437,1.0750842794096768e-13,3885025.912064686,938.1609315195174,938.1609315195174,16.206946895556708,1876.3218630390347 
 01/05  05:00:00,-6.0,3.375,20.0,0.003640952270052472,1938283.1974646556,0.0,400.0424383334274,9.364806836152625e-14,3941877.768598338,938.1609264460075,938.1609264460075,16.150697524030207,1876.321852892015 
 01/05  06:00:00,-6.749999999999999,3.0,20.0,0.003576073678217608,1955007.7921765281,0.0,400.0370417771139,8.173956409740794e-14,4055162.0766759505,938.1609220717648,938.1609220717648,16.03819744304014,1876.3218441435297 
 01/05  07:00:00,-7.7,3.0,20.0,0.0035876456876705294,1982513.6072609872,0.0,400.0323427425842,7.137027125924774e-14,4198602.916623055,938.160918277991,938.160918277991,15.895697173399356,1876.321836555982 
 01/05  08:00:00,-8.625,2.375,20.0,0.003493169690305246,1997297.4629925075,0.0,400.0282540945367,6.234790961266627e-14,4337850.471390922,938.1609149689494,938.1609149689494,15.756947500707923,1876.3218299378989 
 01/05  09:00:00,-9.125,2.0,20.0,0.003452896992273623,2010291.6836793544,0.0,400.02472481591053,5.4559900533657355e-14,4412544.430321865,938.1609121128743,938.1609121128743,15.681947460813673,1876.3218242257485 
 01/05  10:00:00,-9.7,2.0,21.17896766447693,0.003457508004811534,0.0,166941.57996009837,524.9859429520994,4.816078993600444e-14,4650778.860116283,1319.5173424052505,1319.5173424052505,16.433827681907538,6781439.034684811 
 01/05  11:00:00,-10.0,2.0,21.862945137914846,0.0034571533851687486,0.0,543263.3199234249,768.5819325514028,3.4490464104878185e-14,4825677.9625314865,6494.6381820277675,6494.6381820277675,17.13451051606102,8321789.276364056 
 01/05  12:00:00,-9.8125,2.625,21.81591218545601,0.0035638001264506128,0.0,799832.5320248754,875.3790909518802,1.7153519884891713e-14,4789969.931279207,16182.802169748164,16182.802169748164,17.166699417318224,8341165.604339497 
 01/05  13:00:00,-9.8875,2.375,21.85696123947038,0.003519630278420924,0.0,845457.7361285759,890.2315617838649,7.482502612951405e-15,4804648.654681962,18604.312924041034,18604.312924041034,17.186436556640423,8346008.625848083 
